Date,Honeywell (HON) Price
1/2/2007,30.6236
1/3/2007,30.5288
1/4/2007,30.5153
1/5/2007,30.2242
1/8/2007,30.407
1/9/2007,30.6236
1/10/2007,30.4341
1/11/2007,30.9417
1/12/2007,30.8402
1/15/2007,30.8402
1/16/2007,30.8808
1/17/2007,30.8267
1/18/2007,30.4882
1/19/2007,30.6574
1/22/2007,29.9602
1/23/2007,30.0956
1/24/2007,30.0685
1/25/2007,29.9196
1/26/2007,29.8722
1/29/2007,29.9399
1/30/2007,30.5559
1/31/2007,30.9282
2/1/2007,31.0907
2/2/2007,31.2463
2/5/2007,31.1516
2/6/2007,31.5577
2/7/2007,31.5239
2/8/2007,31.5239
2/9/2007,31.3005
2/12/2007,31.199
2/13/2007,31.4833
2/14/2007,32.1805
2/15/2007,32.2008
2/16/2007,32.3768
2/19/2007,32.3768
2/20/2007,32.5731
2/21/2007,32.7017
2/22/2007,32.6205
2/23/2007,32.4504
2/26/2007,32.4027
2/27/2007,31.4093
2/28/2007,31.5726
3/1/2007,31.4297
3/2/2007,31.2392
3/5/2007,31.212
3/6/2007,31.5318
3/7/2007,31.7019
3/8/2007,32.1918
3/9/2007,32.1374
3/12/2007,32.3959
3/13/2007,31.8992
3/14/2007,31.9128
3/15/2007,31.9673
3/16/2007,31.94
3/19/2007,32.1238
3/20/2007,32.0761
3/21/2007,32.4572
3/22/2007,32.3755
3/23/2007,32.464
3/26/2007,32.2122
3/27/2007,31.7971
3/28/2007,31.3208
3/29/2007,31.2596
3/30/2007,31.3413
4/2/2007,31.4025
4/3/2007,31.804
4/4/2007,32.151
4/5/2007,32.1578
4/6/2007,32.1578
4/9/2007,32.0557
4/10/2007,31.9673
4/11/2007,31.5658
4/12/2007,31.9741
4/13/2007,32.0013
4/16/2007,32.2394
4/17/2007,32.4164
4/18/2007,32.8042
4/19/2007,33.3826
4/20/2007,34.9748
4/23/2007,34.8591
4/24/2007,35.9955
4/25/2007,36.7372
4/26/2007,36.533
4/27/2007,37.3496
4/30/2007,36.8665
5/1/2007,37.4789
5/2/2007,37.7646
5/3/2007,38.1049
5/4/2007,38.1865
5/7/2007,37.649
5/8/2007,37.962
5/9/2007,38.656
5/10/2007,38.69
5/11/2007,39.3229
5/14/2007,39.9421
5/15/2007,39.4726
5/16/2007,39.7322
5/17/2007,39.7869
5/18/2007,40.1149
5/21/2007,39.8416
5/22/2007,38.9395
5/23/2007,38.6388
5/24/2007,38.263
5/25/2007,38.9053
5/28/2007,38.9053
5/29/2007,39.1924
5/30/2007,39.4521
5/31/2007,39.5751
6/1/2007,40.1833
6/4/2007,40.0603
6/5/2007,39.7596
6/6/2007,39.1855
6/7/2007,38.5431
6/8/2007,39.2129
6/11/2007,38.9668
6/12/2007,38.7072
6/13/2007,39.329
6/14/2007,39.8006
6/15/2007,40.2311
6/18/2007,39.5067
6/19/2007,39.5477
6/20/2007,38.6457
6/21/2007,38.5295
6/22/2007,38.0511
6/25/2007,38.0511
6/26/2007,38.2766
6/27/2007,38.4816
6/28/2007,38.5295
6/29/2007,38.4611
7/2/2007,39.0079
7/3/2007,39.0899
7/4/2007,39.0899
7/5/2007,39.8826
7/6/2007,40.3746
7/9/2007,39.9988
7/10/2007,39.5136
7/11/2007,40.1423
7/12/2007,41.304
7/13/2007,41.099
7/16/2007,41.4134
7/17/2007,41.5774
7/18/2007,41.3724
7/19/2007,41.6731
7/20/2007,41.6594
7/23/2007,41.9943
7/24/2007,41.4681
7/25/2007,41.6047
7/26/2007,40.607
7/27/2007,40.0534
7/30/2007,40.6206
7/31/2007,39.3017
8/1/2007,39.0557
8/2/2007,40.3541
8/3/2007,39.7596
8/6/2007,40.2858
8/7/2007,40.2311
8/8/2007,39.4657
8/9/2007,38.8028
8/10/2007,38.2766
8/13/2007,38.6047
8/14/2007,38.5226
8/15/2007,37.3951
8/16/2007,37.1548
8/17/2007,37.3882
8/20/2007,38.3219
8/21/2007,37.7726
8/22/2007,38.3219
8/23/2007,38.3562
8/24/2007,38.3081
8/27/2007,39.0633
8/28/2007,38.164
8/29/2007,39.132
8/30/2007,38.6445
8/31/2007,38.5484
9/3/2007,38.5484
9/4/2007,38.6926
9/5/2007,37.9237
9/6/2007,38.8985
9/7/2007,37.5598
9/10/2007,37.8001
9/11/2007,38.5965
9/12/2007,38.4248
9/13/2007,38.6514
9/14/2007,38.7475
9/17/2007,38.6789
9/18/2007,39.3242
9/19/2007,39.997
9/20/2007,39.9352
9/21/2007,40.2922
9/24/2007,39.8254
9/25/2007,40.5668
9/26/2007,40.711
9/27/2007,40.6423
9/28/2007,40.8277
10/1/2007,41.7133
10/2/2007,41.0199
10/3/2007,41.1298
10/4/2007,40.9101
10/5/2007,41.068
10/8/2007,41.5966
10/9/2007,42.0428
10/10/2007,41.679
10/11/2007,41.7957
10/12/2007,42.3655
10/15/2007,42.1321
10/16/2007,41.9879
10/17/2007,41.6721
10/18/2007,41.6652
10/19/2007,40.0382
10/22/2007,39.9146
10/23/2007,40.2991
10/24/2007,40.3128
10/25/2007,40.5943
10/26/2007,40.8071
10/29/2007,40.9924
10/30/2007,41.1298
10/31/2007,41.473
11/1/2007,40.5325
11/2/2007,40.7453
11/5/2007,41.1298
11/6/2007,41.8712
11/7/2007,40.5325
11/8/2007,40.7041
11/9/2007,39.6537
11/12/2007,39.2212
11/13/2007,39.9146
11/14/2007,40.1755
11/15/2007,39.2418
11/16/2007,38.5316
11/19/2007,37.7593
11/20/2007,37.5869
11/21/2007,37.1732
11/22/2007,37.1732
11/23/2007,37.6972
11/26/2007,36.6767
11/27/2007,37.2697
11/28/2007,38.3247
11/29/2007,37.842
11/30/2007,39.0418
12/3/2007,39.3452
12/4/2007,39.0556
12/5/2007,39.8072
12/6/2007,40.152
12/7/2007,40.152
12/10/2007,41.0139
12/11/2007,40.2347
12/12/2007,39.8141
12/13/2007,41.8207
12/14/2007,41.3587
12/17/2007,41.5104
12/18/2007,41.7793
12/19/2007,42.1241
12/20/2007,41.8483
12/21/2007,41.8621
