Date,"Germany Labor Force Growth YoY, Ann., through Jan, released on Mar 1 by German Federal Statistical Office (Statistisches Bundesamt)"
1/31/1991,
2/28/1991,
3/31/1991,
4/30/1991,
5/31/1991,
6/30/1991,
7/31/1991,
8/31/1991,
9/30/1991,
10/31/1991,
11/30/1991,
12/31/1991,
1/31/1992,-0.00330873
2/29/1992,-0.004072283
3/31/1992,-0.004581318
4/30/1992,-0.004327902
5/31/1992,-0.004074357
6/30/1992,-0.00356597
7/31/1992,-0.003057325
8/31/1992,-0.002803262
9/30/1992,-0.002039256
10/31/1992,-0.001529832
11/30/1992,-0.000765306
12/31/1992,0
1/31/1993,0.000510725
2/28/1993,0.00153335
3/31/1993,0.002045513
4/30/1993,0.002301202
5/31/1993,0.002556891
6/30/1993,0.002556237
7/31/1993,0.002300026
8/31/1993,0.002555584
9/30/1993,0.002554278
10/31/1993,0.002298264
11/30/1993,0.002552974
12/31/1993,0.00229709
1/31/1994,0.002807555
2/28/1994,0.002806838
3/31/1994,0.002806838
4/30/1994,0.002295918
5/31/1994,0.001530222
6/30/1994,0.000509944
7/31/1994,-0.000254972
8/31/1994,-0.001274535
9/30/1994,-0.002292994
10/31/1994,-0.003057325
11/30/1994,-0.004329004
12/31/1994,-0.005347594
1/31/1995,-0.00661746
2/28/1995,-0.007633588
3/31/1995,-0.008396947
4/30/1995,-0.008653601
5/31/1995,-0.008403361
6/30/1995,-0.007390418
7/31/1995,-0.006630961
8/31/1995,-0.00561511
9/30/1995,-0.005107252
10/31/1995,-0.004088934
11/30/1995,-0.003069054
12/31/1995,-0.002048131
1/31/1996,-0.001281066
2/29/1996,-0.000512821
3/31/1996,0.000513215
4/30/1996,0.001026958
5/31/1996,0.001284027
6/30/1996,0.001026958
7/31/1996,0.001283697
8/31/1996,0.000770021
9/30/1996,0.001026694
10/31/1996,0.000769823
11/30/1996,0.000769625
12/31/1996,0.000769625
1/31/1997,0.000769625
2/28/1997,0.001282709
3/31/1997,0.001025904
4/30/1997,0.00128238
5/31/1997,0.00128238
6/30/1997,0.001538856
7/31/1997,0.001538462
8/31/1997,0.002308284
9/30/1997,0.002307692
10/31/1997,0.002820513
11/30/1997,0.00281979
12/31/1997,0.003332479
1/31/1998,0.003845168
2/28/1998,0.003843198
3/31/1998,0.004099411
4/30/1998,0.004354508
5/31/1998,0.004354508
6/30/1998,0.004609475
7/31/1998,0.004608295
8/31/1998,0.004350051
9/30/1998,0.004348938
10/31/1998,0.004091025
11/30/1998,0.00408998
12/31/1998,0.003832397
1/31/1999,0.004085802
2/28/1999,0.003828484
3/31/1999,0.003827507
4/30/1999,0.003315481
5/31/1999,0.003315481
6/30/1999,0.002294163
7/31/1999,0.001783894
8/31/1999,0.001019108
9/30/1999,0.000254712
10/31/1999,-0.000509295
11/30/1999,-0.00101833
12/31/1999,-0.002036142
1/31/2000,-0.003051882
2/29/2000,-0.004068141
3/31/2000,-0.00482969
4/30/2000,-0.005083884
5/31/2000,-0.00482969
6/30/2000,-0.004069176
7/31/2000,-0.003815823
8/31/2000,-0.002799695
9/30/2000,-0.002037179
10/31/2000,-0.001019108
11/30/2000,-0.000764526
12/31/2000,0.000255037
1/31/2001,0.000765306
2/28/2001,0.001531785
3/31/2001,0.002298851
4/30/2001,0.002810424
5/31/2001,0.002554278
6/30/2001,0.002553626
7/31/2001,0.002298264
8/31/2001,0.001786626
9/30/2001,0.001531003
10/31/2001,0.001020148
11/30/2001,0.001020148
12/31/2001,0.000764916
1/31/2002,0.000509814
2/28/2002,0.000509814
3/31/2002,0
4/30/2002,-0.000509554
