Date,"Brazil Producer Prices Growth YoY, Ann., through Jan, released on Mar 3 by Brazilian Institute of Geography & Statistics (IBGE)"
12/31/2013,
1/31/2014,
2/28/2014,
3/31/2014,
4/30/2014,
5/31/2014,
6/30/2014,
7/31/2014,
8/31/2014,
9/30/2014,
10/31/2014,
11/30/2014,
12/31/2014,0.026638467
1/31/2015,0.007350027
2/28/2015,0.011301811
3/31/2015,0.031500383
4/30/2015,0.043945992
5/31/2015,0.045388277
6/30/2015,0.05349725
7/31/2015,0.067116976
8/31/2015,0.072653061
9/30/2015,0.093950087
10/31/2015,0.108864577
11/30/2015,0.094004432
12/31/2015,0.088129724
1/31/2016,0.099890871
2/29/2016,0.085183319
3/31/2016,0.052591869
4/30/2016,0.046674647
5/31/2016,0.056154121
6/30/2016,0.056443391
7/31/2016,0.042893906
8/31/2016,0.030332681
9/30/2016,0.005160867
10/31/2016,-0.011410525
11/30/2016,0.000682878
12/31/2016,0.017143853
1/31/2017,0.013371328
2/28/2017,0.015255831
3/31/2017,0.028190033
4/30/2017,0.030597446
5/31/2017,0.022435935
6/30/2017,0.015301614
7/31/2017,0.010864226
8/31/2017,0.016425732
9/30/2017,0.026640372
10/31/2017,0.044163597
11/30/2017,0.05042911
12/31/2017,0.041486337
1/31/2018,0.043250566
2/28/2018,0.051918349
3/31/2018,0.062571429
4/30/2018,0.080532229
5/31/2018,0.106963667
6/30/2018,0.134379295
7/31/2018,0.158863476
8/31/2018,0.165386301
9/30/2018,0.181723119
10/31/2018,0.152970076
11/30/2018,0.118544782
12/31/2018,0.096443138
1/31/2019,0.083056877
2/28/2019,0.083850628
3/31/2019,0.089378865
4/30/2019,0.085510085
5/31/2019,0.073242752
6/30/2019,0.037585559
7/31/2019,0.013756476
8/31/2019,0.014302399
9/30/2019,-0.009454832
10/31/2019,0.003341081
11/30/2019,0.028862813
12/31/2019,0.05192
1/31/2020,0.063578748
2/29/2020,0.067333347
3/31/2020,0.059465864
4/30/2020,0.047873119
5/31/2020,0.045473785
6/30/2020,0.063769131
7/31/2020,0.111325567
8/31/2020,0.137660158
9/30/2020,0.158557071
10/31/2020,0.190878819
11/30/2020,0.196811971
12/31/2020,0.193807514
1/31/2021,0.231865248
2/28/2021,0.284979936
3/31/2021,0.333181123
4/30/2021,0.360852284
5/31/2021,0.358475114
6/30/2021,0.367782239
7/31/2021,0.349699612
8/31/2021,0.331168943
9/30/2021,0.304021322
10/31/2021,0.289501625
11/30/2021,0.290544106
12/31/2021,0.284482278
1/31/2022,0.255344838
2/28/2022,0.200247192
3/31/2022,0.18292197
4/30/2022,0.181613598
5/31/2022,0.19121482
6/30/2022,0.187861523
7/31/2022,0.179399812
8/31/2022,0.122389541
9/30/2022,0.098413759
10/31/2022,0.064883721
11/30/2022,0.044013157
12/31/2022,0.03160492
1/31/2023,0.022391031
