Date,"Japan Unemployment (Women), SA, through Jan, released on Mar 2 by Japanese Statistics Bureau, Ministry of Internal Affairs & Communications"
1/31/1953,0.02
2/28/1953,0.021
3/31/1953,0.017
4/30/1953,0.021
5/31/1953,0.019
6/30/1953,0.019
7/31/1953,0.019
8/31/1953,0.017
9/30/1953,0.018
10/31/1953,0.017
11/30/1953,0.018
12/31/1953,0.016
1/31/1954,0.018
2/28/1954,0.017
3/31/1954,0.018
4/30/1954,0.019
5/31/1954,0.02
6/30/1954,0.02
7/31/1954,0.022
8/31/1954,0.025
9/30/1954,0.025
10/31/1954,0.026
11/30/1954,0.025
12/31/1954,0.025
1/31/1955,0.024
2/28/1955,0.023
3/31/1955,0.022
4/30/1955,0.023
5/31/1955,0.023
6/30/1955,0.024
7/31/1955,0.025
8/31/1955,0.023
9/30/1955,0.022
10/31/1955,0.024
11/30/1955,0.022
12/31/1955,0.023
1/31/1956,0.023
2/29/1956,0.025
3/31/1956,0.026
4/30/1956,0.023
5/31/1956,0.023
6/30/1956,0.022
7/31/1956,0.021
8/31/1956,0.022
9/30/1956,0.022
10/31/1956,0.02
11/30/1956,0.023
12/31/1956,0.023
1/31/1957,0.02
2/28/1957,0.021
3/31/1957,0.021
4/30/1957,0.023
5/31/1957,0.021
6/30/1957,0.02
7/31/1957,0.02
8/31/1957,0.019
9/30/1957,0.021
10/31/1957,0.022
11/30/1957,0.018
12/31/1957,0.017
1/31/1958,0.018
2/28/1958,0.017
3/31/1958,0.019
4/30/1958,0.018
5/31/1958,0.019
6/30/1958,0.02
7/31/1958,0.018
8/31/1958,0.019
9/30/1958,0.019
10/31/1958,0.019
11/30/1958,0.02
12/31/1958,0.023
1/31/1959,0.024
2/28/1959,0.023
3/31/1959,0.021
4/30/1959,0.018
5/31/1959,0.02
6/30/1959,0.02
7/31/1959,0.021
8/31/1959,0.021
9/30/1959,0.02
10/31/1959,0.019
11/30/1959,0.019
12/31/1959,0.018
1/31/1960,0.018
2/29/1960,0.016
3/31/1960,0.017
4/30/1960,0.019
5/31/1960,0.017
6/30/1960,0.017
7/31/1960,0.016
8/31/1960,0.018
9/30/1960,0.017
10/31/1960,0.015
11/30/1960,0.016
12/31/1960,0.015
1/31/1961,0.015
2/28/1961,0.017
3/31/1961,0.015
4/30/1961,0.014
5/31/1961,0.015
6/30/1961,0.015
7/31/1961,0.017
8/31/1961,0.014
9/30/1961,0.014
10/31/1961,0.016
11/30/1961,0.018
12/31/1961,0.017
1/31/1962,0.016
2/28/1962,0.014
3/31/1962,0.015
4/30/1962,0.016
5/31/1962,0.014
6/30/1962,0.014
7/31/1962,0.014
8/31/1962,0.014
9/30/1962,0.014
10/31/1962,0.015
11/30/1962,0.012
12/31/1962,0.014
1/31/1963,0.014
2/28/1963,0.014
3/31/1963,0.016
4/30/1963,0.014
5/31/1963,0.014
6/30/1963,0.013
7/31/1963,0.012
8/31/1963,0.012
9/30/1963,0.014
10/31/1963,0.013
11/30/1963,0.013
12/31/1963,0.013
1/31/1964,0.013
2/29/1964,0.014
3/31/1964,0.012
4/30/1964,0.013
5/31/1964,0.013
6/30/1964,0.013
7/31/1964,0.014
8/31/1964,0.013
9/30/1964,0.012
10/31/1964,0.012
11/30/1964,0.013
12/31/1964,0.014
1/31/1965,0.013
2/28/1965,0.014
3/31/1965,0.011
4/30/1965,0.014
5/31/1965,0.013
6/30/1965,0.015
7/31/1965,0.014
8/31/1965,0.014
9/30/1965,0.014
10/31/1965,0.013
11/30/1965,0.014
12/31/1965,0.016
1/31/1966,0.016
2/28/1966,0.016
3/31/1966,0.015
4/30/1966,0.013
5/31/1966,0.015
6/30/1966,0.014
7/31/1966,0.013
8/31/1966,0.014
9/30/1966,0.015
10/31/1966,0.014
11/30/1966,0.015
12/31/1966,0.013
1/31/1967,0.013
2/28/1967,0.01
3/31/1967,0.019
4/30/1967,0.014
5/31/1967,0.013
6/30/1967,0.014
7/31/1967,0.014
8/31/1967,0.014
9/30/1967,0.014
10/31/1967,0.013
11/30/1967,0.014
12/31/1967,0.013
1/31/1968,0.012
2/29/1968,0.014
3/31/1968,0.011
4/30/1968,0.012
5/31/1968,0.012
6/30/1968,0.011
7/31/1968,0.012
8/31/1968,0.011
9/30/1968,0.01
10/31/1968,0.01
11/30/1968,0.009
12/31/1968,0.01
1/31/1969,0.011
2/28/1969,0.011
3/31/1969,0.01
4/30/1969,0.011
5/31/1969,0.011
6/30/1969,0.012
7/31/1969,0.011
8/31/1969,0.01
9/30/1969,0.011
10/31/1969,0.011
11/30/1969,0.01
12/31/1969,0.011
1/31/1970,0.011
2/28/1970,0.01
3/31/1970,0.009
4/30/1970,0.01
5/31/1970,0.01
6/30/1970,0.01
7/31/1970,0.01
8/31/1970,0.011
9/30/1970,0.012
10/31/1970,0.011
11/30/1970,0.013
12/31/1970,0.011
1/31/1971,0.01
2/28/1971,0.012
3/31/1971,0.012
4/30/1971,0.012
5/31/1971,0.011
6/30/1971,0.011
7/31/1971,0.012
8/31/1971,0.012
9/30/1971,0.011
10/31/1971,0.013
11/30/1971,0.012
12/31/1971,0.012
1/31/1972,0.012
2/29/1972,0.012
3/31/1972,0.013
4/30/1972,0.014
5/31/1972,0.013
6/30/1972,0.013
7/31/1972,0.013
8/31/1972,0.012
9/30/1972,0.013
10/31/1972,0.012
11/30/1972,0.013
12/31/1972,0.013
1/31/1973,0.013
2/28/1973,0.012
3/31/1973,0.011
4/30/1973,0.012
5/31/1973,0.012
6/30/1973,0.012
7/31/1973,0.012
8/31/1973,0.012
9/30/1973,0.012
10/31/1973,0.011
11/30/1973,0.01
12/31/1973,0.011
1/31/1974,0.012
2/28/1974,0.012
3/31/1974,0.013
4/30/1974,0.012
5/31/1974,0.011
6/30/1974,0.012
7/31/1974,0.013
8/31/1974,0.015
9/30/1974,0.013
10/31/1974,0.015
11/30/1974,0.015
12/31/1974,0.018
1/31/1975,0.017
2/28/1975,0.017
3/31/1975,0.016
4/30/1975,0.017
5/31/1975,0.018
6/30/1975,0.016
7/31/1975,0.017
8/31/1975,0.017
9/30/1975,0.017
10/31/1975,0.018
11/30/1975,0.019
12/31/1975,0.017
1/31/1976,0.016
2/29/1976,0.019
3/31/1976,0.016
4/30/1976,0.017
5/31/1976,0.017
6/30/1976,0.018
7/31/1976,0.017
8/31/1976,0.017
9/30/1976,0.017
10/31/1976,0.016
11/30/1976,0.016
12/31/1976,0.016
1/31/1977,0.016
2/28/1977,0.017
3/31/1977,0.018
4/30/1977,0.016
5/31/1977,0.019
6/30/1977,0.019
7/31/1977,0.018
8/31/1977,0.018
9/30/1977,0.019
10/31/1977,0.019
11/30/1977,0.02
12/31/1977,0.02
1/31/1978,0.02
2/28/1978,0.02
3/31/1978,0.02
4/30/1978,0.021
5/31/1978,0.02
6/30/1978,0.021
7/31/1978,0.02
8/31/1978,0.02
9/30/1978,0.022
10/31/1978,0.02
11/30/1978,0.019
12/31/1978,0.02
1/31/1979,0.021
2/28/1979,0.019
3/31/1979,0.02
4/30/1979,0.02
5/31/1979,0.02
6/30/1979,0.019
7/31/1979,0.021
8/31/1979,0.021
9/30/1979,0.019
10/31/1979,0.02
11/30/1979,0.02
12/31/1979,0.019
1/31/1980,0.019
2/29/1980,0.018
3/31/1980,0.019
4/30/1980,0.021
5/31/1980,0.019
6/30/1980,0.019
