Date,"United States Financial Stress Index, released on Mar 1 by Federal Reserve Bank of Chicago",
1/4/1971,0.579368,
1/11/1971,0.625285,
1/18/1971,0.68043,
1/25/1971,0.740167,
2/1/1971,0.801078,
2/8/1971,0.857918,
2/15/1971,0.907195,
2/22/1971,0.94762,
3/1/1971,0.980596,
3/8/1971,1.008713,
3/15/1971,1.036362,
3/22/1971,1.068978,
3/29/1971,1.110185,
4/5/1971,1.162343,
4/12/1971,1.223499,
4/19/1971,1.289557,
4/26/1971,1.352077,
5/3/1971,1.402132,
5/10/1971,1.4279,
5/17/1971,1.422144,
5/24/1971,1.382515,
5/31/1971,1.311746,
6/7/1971,1.215851,
6/14/1971,1.111662,
6/21/1971,1.017321,
6/28/1971,0.951328,
7/5/1971,0.931043,
7/12/1971,0.967846,
7/19/1971,1.065682,
7/26/1971,1.218654,
8/2/1971,1.412538,
8/9/1971,1.625538,
8/16/1971,1.834142,
8/23/1971,2.011319,
8/30/1971,2.140902,
9/6/1971,2.208292,
9/13/1971,2.213376,
9/20/1971,2.160894,
9/27/1971,2.063873,
10/4/1971,1.937715,
10/11/1971,1.802199,
10/18/1971,1.674282,
10/25/1971,1.566632,
11/1/1971,1.487321,
11/8/1971,1.436855,
11/15/1971,1.412194,
11/22/1971,1.403632,
11/29/1971,1.401717,
12/6/1971,1.396054,
12/13/1971,1.377432,
12/20/1971,1.339462,
12/27/1971,1.282147,
1/3/1972,1.19913,
1/10/1972,1.102326,
1/17/1972,0.995572,
1/24/1972,0.886302,
1/31/1972,0.782648,
2/7/1972,0.689349,
2/14/1972,0.60912,
2/21/1972,0.54301,
2/28/1972,0.490364,
3/6/1972,0.4491,
3/13/1972,0.415297,
3/20/1972,0.384784,
3/27/1972,0.35355,
4/3/1972,0.317657,
4/10/1972,0.277493,
4/17/1972,0.232604,
4/24/1972,0.18577,
5/1/1972,0.140358,
5/8/1972,0.100608,
5/15/1972,0.070958,
5/22/1972,0.055757,
5/29/1972,0.05705,
6/5/1972,0.075417,
6/12/1972,0.108254,
6/19/1972,0.151329,
6/26/1972,0.198009,
7/3/1972,0.240524,
7/10/1972,0.2727,
7/17/1972,0.288912,
7/24/1972,0.284774,
7/31/1972,0.259797,
8/7/1972,0.215807,
8/14/1972,0.157209,
8/21/1972,0.089566,
8/28/1972,0.019853,
9/4/1972,-0.044829,
9/11/1972,-0.099809,
9/18/1972,-0.142123,
9/25/1972,-0.171053,
10/2/1972,-0.188648,
10/9/1972,-0.198778,
10/16/1972,-0.204798,
10/23/1972,-0.210985,
10/30/1972,-0.220305,
11/6/1972,-0.234089,
11/13/1972,-0.252401,
11/20/1972,-0.273577,
11/27/1972,-0.293412,
12/4/1972,-0.307228,
12/11/1972,-0.309873,
12/18/1972,-0.294706,
12/25/1972,-0.256331,
1/1/1973,-0.191289,
1/8/1973,-0.097703,
1/15/1973,0.022782,
1/22/1973,0.165839,
1/29/1973,0.324647,
2/5/1973,0.489568,
2/12/1973,0.64962,
2/19/1973,0.795623,
2/26/1973,0.919036,
3/5/1973,1.01496,
3/12/1973,1.081156,
3/19/1973,1.121048,
3/26/1973,1.138726,
4/2/1973,1.1384,
4/9/1973,1.127009,
4/16/1973,1.109379,
4/23/1973,1.089732,
4/30/1973,1.070091,
5/7/1973,1.052969,
5/14/1973,1.038915,
5/21/1973,1.029685,
5/28/1973,1.027661,
6/4/1973,1.035856,
6/11/1973,1.056931,
6/18/1973,1.093693,
6/25/1973,1.148362,
7/2/1973,1.220834,
7/9/1973,1.311406,
7/16/1973,1.416373,
7/23/1973,1.53283,
7/30/1973,1.654631,
8/6/1973,1.776836,
8/13/1973,1.893746,
8/20/1973,2.000816,
8/27/1973,2.091851,
9/3/1973,2.161551,
9/10/1973,2.207092,
9/17/1973,2.227761,
9/24/1973,2.224426,
10/1/1973,2.198728,
10/8/1973,2.158983,
10/15/1973,2.111017,
10/22/1973,2.06391,
10/29/1973,2.023287,
11/5/1973,1.993105,
11/12/1973,1.973007,
11/19/1973,1.956962,
11/26/1973,1.9355,
12/3/1973,1.89726,
12/10/1973,1.833392,
12/17/1973,1.7372,
12/24/1973,1.606896,
12/31/1973,1.443515,
1/7/1974,1.258279,
1/14/1974,1.061664,
1/21/1974,0.866656,
1/28/1974,0.687286,
2/4/1974,0.535582,
2/11/1974,0.421228,
2/18/1974,0.35169,
2/25/1974,0.330868,
3/4/1974,0.360727,
3/11/1974,0.440832,
3/18/1974,0.568571,
3/25/1974,0.73976,
4/1/1974,0.949553,
4/8/1974,1.194786,
4/15/1974,1.469427,
4/22/1974,1.769564,
4/29/1974,2.090045,
5/6/1974,2.427751,
5/13/1974,2.777785,
5/20/1974,3.131636,
5/27/1974,3.482632,
6/3/1974,3.821221,
6/10/1974,4.135759,
6/17/1974,4.415569,
6/24/1974,4.64844,
7/1/1974,4.823514,
7/8/1974,4.935485,
7/15/1974,4.983983,
7/22/1974,4.975536,
7/29/1974,4.92089,
8/5/1974,4.830356,
8/12/1974,4.719404,
8/19/1974,4.596186,
8/26/1974,4.468742,
9/2/1974,4.338027,
9/9/1974,4.203258,
9/16/1974,4.062679,
9/23/1974,3.909634,
9/30/1974,3.742369,
10/7/1974,3.560525,
10/14/1974,3.372495,
10/21/1974,3.18688,
10/28/1974,3.012836,
11/4/1974,2.859441,
11/11/1974,2.731547,
11/18/1974,2.627018,
11/25/1974,2.543201,
12/2/1974,2.470743,
12/9/1974,2.399119,
12/16/1974,2.319978,
12/23/1974,2.2234,
12/30/1974,2.105712,
1/6/1975,1.965249,
1/13/1975,1.807134,
1/20/1975,1.637724,
1/27/1975,1.464539,
2/3/1975,1.294486,
2/10/1975,1.135118,
2/17/1975,0.988399,
2/24/1975,0.855784,
3/3/1975,0.736618,
3/10/1975,0.628829,
3/17/1975,0.529943,
3/24/1975,0.436328,
3/31/1975,0.344892,
4/7/1975,0.253772,
4/14/1975,0.163007,
4/21/1975,0.072191,
4/28/1975,-0.016024,
5/5/1975,-0.100144,
5/12/1975,-0.177459,
5/19/1975,-0.247141,
5/26/1975,-0.306216,
6/2/1975,-0.354375,
6/9/1975,-0.391829,
6/16/1975,-0.41976,
6/23/1975,-0.439099,
6/30/1975,-0.451291,
7/7/1975,-0.457979,
7/14/1975,-0.459702,
7/21/1975,-0.456196,
7/28/1975,-0.446992,
8/4/1975,-0.431125,
8/11/1975,-0.408317,
8/18/1975,-0.378505,
8/25/1975,-0.342154,
9/1/1975,-0.300978,
9/8/1975,-0.256492,
9/15/1975,-0.210831,
9/22/1975,-0.167058,
